,Unnamed: 0,Age,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Win,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player,Team,cluster_3,cluster_9,cluster_3_label,cluster_9_label
535,592,25.0,37.0,0.0,5.5,0.7,2.6,0.26,0.4,1.9,0.194,0.3,0.6,0.458,0.333,0.0,0.1,0.5,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,1.8,0.829,3.7,0.335,0.75,0.021,3.8,10.3,7.1,7.3,1.9,1.5,4.0,21.1,-0.6,0.3,-0.3,-0.062,-8.1,-2.3,-10.3,-0.4,Adam Flagler,OKC,1,1,Balanced Role Players,High Volume Three Point Specialists
536,596,19.0,18.0,0.0,6.2,0.6,1.7,0.323,0.3,1.1,0.316,0.2,0.7,0.333,0.419,0.2,0.3,0.667,0.2,0.8,1.0,0.3,0.2,0.1,0.2,0.4,1.7,0.622,6.3,0.446,0.613,0.194,3.1,15.4,9.3,5.6,1.3,1.7,10.6,14.7,-0.1,0.1,0.0,0.002,-4.9,-1.5,-6.5,-0.1,Pacôme Dadiet,NYK,1,4,Balanced Role Players,Low Usage Floor Spacers
537,597,24.0,21.0,0.0,6.0,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.4,0.222,0.567,0.1,0.1,1.0,0.4,0.8,1.2,0.2,0.2,0.0,0.2,0.6,1.7,0.829,10.1,0.583,0.7,0.067,7.9,14.3,11.2,4.8,1.9,0.0,11.5,11.8,0.1,0.2,0.3,0.125,-2.1,0.1,-2.0,0.0,Alex Ducas,OKC,1,4,Balanced Role Players,Low Usage Floor Spacers
538,600,33.0,40.0,0.0,8.2,0.8,1.8,0.437,0.0,0.1,0.0,0.8,1.7,0.456,0.437,0.2,0.8,0.233,0.8,2.6,3.4,0.6,0.1,0.3,0.4,0.9,1.7,0.78,9.1,0.41,0.042,0.423,10.9,32.7,22.1,8.8,0.3,3.0,14.3,12.7,-0.2,0.5,0.4,0.057,-4.9,0.3,-4.6,-0.2,Tristan Thompson,CLE,2,6,Rebounding Bigs,Traditional Interior Bigs
539,601,31.0,36.0,3.0,7.2,0.6,1.1,0.537,0.0,0.2,0.167,0.6,1.0,0.6,0.549,0.2,0.4,0.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1.0,1.4,0.488,13.1,0.557,0.146,0.317,10.8,17.0,13.9,14.5,1.5,6.8,19.1,9.6,0.3,0.3,0.6,0.121,-2.1,2.4,0.3,0.2,Alex Len,SAC,2,6,Rebounding Bigs,Traditional Interior Bigs
540,602,31.0,10.0,4.0,12.2,1.0,2.2,0.455,0.1,0.3,0.333,0.9,1.9,0.474,0.477,0.1,0.4,0.25,1.3,1.8,3.1,0.8,0.1,0.3,0.9,2.1,2.2,0.61,5.3,0.463,0.136,0.182,12.4,16.1,14.3,8.5,0.4,2.3,27.5,11.8,-0.1,0.1,0.0,0.002,-7.6,-1.3,-8.9,-0.2,Alex Len,LAL,2,6,Rebounding Bigs,Traditional Interior Bigs
541,605,22.0,9.0,0.0,7.4,0.7,2.1,0.316,0.0,0.8,0.0,0.7,1.3,0.5,0.316,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,0.61,3.5,0.317,0.368,0.368,3.5,21.2,12.6,2.0,2.9,2.8,12.0,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1,Armel Traoré,LAL,2,5,Rebounding Bigs,Balanced Role Players
542,606,20.0,52.0,1.0,7.8,0.6,1.6,0.361,0.3,1.1,0.273,0.3,0.5,0.536,0.452,0.1,0.2,0.583,0.4,0.9,1.3,0.4,0.2,0.2,0.3,0.6,1.6,0.744,6.9,0.464,0.663,0.145,6.2,12.4,9.3,6.0,1.5,2.5,16.1,11.5,-0.2,0.5,0.4,0.044,-4.4,0.5,-3.9,-0.2,Jordan Walsh,BOS,1,4,Balanced Role Players,Low Usage Floor Spacers
543,607,22.0,5.0,0.0,8.8,0.6,4.2,0.143,0.0,2.0,0.0,0.6,2.2,0.273,0.143,0.4,0.4,1.0,0.4,1.2,1.6,0.4,0.2,0.4,0.2,0.2,1.6,0.293,-2.3,0.183,0.476,0.095,4.9,16.1,10.3,6.0,1.1,4.5,4.4,22.6,-0.3,0.0,-0.3,-0.283,-12.0,-6.2,-18.2,-0.2,Phillip Wheeler,PHI,1,2,Balanced Role Players,Stretch Bigs
544,609,20.0,5.0,0.0,12.0,0.8,2.4,0.333,0.0,1.2,0.0,0.8,1.2,0.667,0.333,0.4,0.6,0.667,1.0,1.2,2.2,1.8,0.2,0.2,1.8,0.8,2.0,0.439,2.7,0.375,0.5,0.25,8.8,11.1,9.9,19.4,0.8,1.5,40.3,15.5,-0.2,0.0,-0.2,-0.123,-7.7,0.4,-7.3,-0.1,Sidy Cissoko,POR,1,4,Balanced Role Players,Low Usage Floor Spacers
545,611,23.0,4.0,0.0,7.3,0.5,1.8,0.286,0.0,0.3,0.0,0.5,1.5,0.333,0.286,0.5,0.5,1.0,0.0,2.0,2.0,0.5,0.3,0.3,0.0,1.5,1.5,0.622,6.7,0.381,0.143,0.286,0.0,31.3,15.8,8.4,1.7,3.2,0.0,11.8,0.0,0.0,0.0,0.06,-8.5,1.3,-7.2,0.0,Kevin McCullar Jr.,NYK,2,6,Rebounding Bigs,Traditional Interior Bigs
546,620,23.0,20.0,0.0,6.3,0.6,1.7,0.324,0.1,0.9,0.059,0.5,0.9,0.588,0.338,0.2,0.2,1.0,0.4,0.5,0.9,0.3,0.3,0.3,0.3,0.9,1.3,0.61,4.5,0.368,0.5,0.088,7.4,7.5,7.5,4.7,1.9,3.6,12.4,13.7,-0.2,0.1,-0.1,-0.031,-7.7,-0.8,-8.5,-0.2,Spencer Jones,DEN,1,4,Balanced Role Players,Low Usage Floor Spacers
547,627,26.0,33.0,2.0,7.0,0.4,1.6,0.245,0.2,1.0,0.156,0.2,0.6,0.381,0.292,0.1,0.1,0.75,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.5,1.0,0.744,2.4,0.31,0.604,0.075,4.7,15.5,10.1,3.8,2.4,2.0,20.4,13.1,-0.7,0.4,-0.3,-0.057,-8.4,0.3,-8.1,-0.4,Xavier Tillman Sr.,BOS,1,4,Balanced Role Players,Low Usage Floor Spacers
548,628,23.0,12.0,0.0,7.3,0.4,1.7,0.25,0.0,0.8,0.0,0.4,0.9,0.455,0.25,0.2,0.2,1.0,0.7,1.0,1.7,0.7,0.1,0.1,0.7,0.5,1.0,0.78,1.9,0.287,0.45,0.1,10.1,14.4,12.3,10.5,0.5,1.0,27.7,13.9,-0.2,0.1,-0.1,-0.082,-7.8,-1.9,-9.7,-0.2,Luke Travers,CLE,1,4,Balanced Role Players,Low Usage Floor Spacers
549,630,25.0,19.0,0.0,5.3,0.4,1.1,0.381,0.1,0.5,0.2,0.3,0.6,0.545,0.429,0.0,0.1,0.0,0.3,0.3,0.5,0.4,0.3,0.1,0.3,0.6,0.9,0.439,5.0,0.411,0.476,0.095,5.2,5.5,5.4,9.1,2.9,0.9,18.6,11.1,-0.1,0.1,0.0,-0.007,-7.1,1.7,-5.4,-0.1,Justin Minaya,POR,1,4,Balanced Role Players,Low Usage Floor Spacers
550,632,24.0,4.0,0.0,8.3,0.3,1.8,0.143,0.0,0.8,0.0,0.3,1.0,0.25,0.143,0.3,0.3,1.0,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,0.366,-2.6,0.202,0.429,0.143,0.0,13.3,6.5,10.9,2.9,0.0,35.0,14.5,-0.2,0.0,-0.1,-0.199,-10.4,-0.7,-11.1,-0.1,D.J. Carton,TOR,1,4,Balanced Role Players,Low Usage Floor Spacers
