,Age,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Win,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player
316,25.0,70.0,42.0,20.4,3.0,4.8,0.611,0.0,0.4,0.107,2.9,4.4,0.656,0.615,1.2,1.9,0.639,2.4,4.2,6.6,2.0,0.7,1.4,1.0,2.1,7.2,0.5,19.2,0.631,0.083,0.392,12.7,25.0,18.6,14.8,1.7,6.6,15.3,14.3,2.8,3.0,5.8,0.195,-0.3,2.8,2.5,1.6,Goga Bitadze
317,23.0,74.0,38.0,22.0,2.7,6.5,0.412,1.1,3.2,0.335,1.6,3.3,0.488,0.495,0.7,0.9,0.873,1.0,2.3,3.3,1.5,0.4,0.2,0.8,1.3,7.2,0.5,9.9,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1.0,1.1,9.9,15.2,0.5,1.9,2.5,0.073,-2.3,-0.3,-2.6,-0.3,Tristan Da Silva
318,20.0,29.0,3.0,15.8,2.6,6.9,0.372,1.1,3.3,0.337,1.4,3.6,0.404,0.452,1.0,1.4,0.725,0.9,2.2,3.2,1.0,0.4,0.2,1.1,1.0,7.2,0.585,9.3,0.482,0.477,0.201,6.3,14.8,10.6,8.2,1.2,1.0,12.5,21.7,-0.4,0.4,0.1,0.009,-3.3,-2.0,-5.3,-0.4,GG Jackson II
319,24.0,57.0,16.0,20.2,2.5,5.1,0.497,1.6,3.6,0.437,1.0,1.5,0.64,0.651,0.6,0.8,0.711,0.4,2.4,2.7,2.6,0.6,0.5,0.9,1.8,7.2,0.488,12.7,0.661,0.705,0.154,2.0,13.1,7.4,16.5,1.5,2.1,13.8,12.9,1.8,0.8,2.6,0.11,0.0,0.7,0.7,0.8,Vít Krejčí
320,28.0,71.0,4.0,19.7,2.4,6.0,0.406,1.9,5.2,0.372,0.5,0.8,0.625,0.567,0.4,0.4,0.966,0.5,1.7,2.2,1.5,0.7,0.2,0.5,1.7,7.2,0.78,11.1,0.583,0.868,0.068,3.0,8.9,6.1,9.6,1.8,0.9,7.4,14.3,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8,Sam Merrill
321,26.0,6.0,0.0,12.0,2.7,4.2,0.64,1.5,2.8,0.529,1.2,1.3,0.875,0.82,0.3,0.3,1.0,0.7,1.2,1.8,0.3,0.0,0.0,0.7,1.7,7.2,0.488,16.1,0.831,0.68,0.08,5.9,10.9,8.4,4.1,0.0,0.0,13.4,17.0,0.2,0.0,0.2,0.125,1.5,-1.5,-0.1,0.0,Daeqwon Plowden
322,24.0,5.0,1.0,12.6,2.6,6.4,0.406,0.4,2.0,0.2,2.2,4.4,0.5,0.438,1.6,2.2,0.727,1.8,2.4,4.2,0.4,0.0,0.2,0.4,1.8,7.2,0.78,14.4,0.489,0.313,0.344,15.9,20.1,18.1,4.4,0.0,1.4,5.1,26.1,0.1,0.1,0.1,0.093,-3.0,-2.4,-5.5,-0.1,Nae'Qwan Tomlin
323,26.0,25.0,1.0,14.0,2.2,4.6,0.491,0.6,1.7,0.381,1.6,2.9,0.556,0.561,0.9,1.3,0.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6.0,0.439,15.8,0.586,0.368,0.281,10.4,12.4,11.4,5.8,3.0,2.7,11.1,18.1,0.4,0.3,0.7,0.092,0.1,0.3,0.4,0.2,Josh Okogie
324,26.0,15.0,6.0,18.3,2.5,6.5,0.388,1.1,3.3,0.32,1.5,3.2,0.458,0.469,2.7,3.5,0.774,0.9,1.9,2.7,1.3,1.8,0.5,1.0,1.3,8.9,0.232,16.8,0.548,0.51,0.541,5.0,11.1,8.0,10.6,4.8,2.9,11.0,21.2,0.2,0.4,0.6,0.11,-0.3,3.3,3.1,0.4,Josh Okogie
326,21.0,13.0,0.0,23.2,2.8,7.5,0.371,1.1,3.5,0.304,1.7,3.9,0.431,0.443,1.2,1.5,0.842,0.2,1.8,2.0,2.8,0.4,0.5,1.3,1.7,7.8,0.293,7.7,0.484,0.474,0.196,0.7,9.4,4.9,17.0,0.8,2.0,13.9,17.7,-0.2,0.1,-0.1,-0.023,-4.5,-2.6,-7.1,-0.4,Jalen Hood-Schifino
